Datetime,Load_Forecast_kW,PV_Forecast_kW,Price_yuan_per_kWh,Net_Load_kW,Battery_Power_kW,SOC_kWh,Grid_Power_kW,Grid_Cost_yuan
24:00,0.1712,0.2688,0.403,-0.0976,100,75,-100.0976,-10.084833
24:15,0.2364,0.2746,0.385,-0.0382,-100,100,99.9618,9.621323
24:30,0.2886,0.2839,0.402,0.0047,-100,125,100.0047,10.050472
24:45,0.3316,0.2945,0.405,0.0371,100,100,-99.9629,-10.121244
25:00,0.3649,0.3053,0.389,0.0596,-100,125,100.0596,9.730796
25:15,0.39,0.3154,0.402,0.0746,-100,150,100.0746,10.057497
25:30,0.4063,0.3247,0.401,0.0816,-100,175,100.0816,10.03318
25:45,0.4132,0.3331,0.386,0.0801,-100,200,100.0801,9.65773
26:00,0.4131,0.3404,0.404,0.0727,0,200,0.0727,0.007343
26:15,0.4089,0.3468,0.407,0.0621,100,175,-99.9379,-10.168681
26:30,0.4032,0.3524,0.413,0.0508,100,150,-99.9492,-10.319755
26:45,0.3975,0.3573,0.413,0.0402,100,125,-99.9598,-10.320849
27:00,0.3925,0.3615,0.383,0.031,-100,150,100.031,9.577968
27:15,0.3885,0.3651,0.389,0.0234,-100,175,100.0234,9.727276
27:30,0.3853,0.3683,0.406,0.017,100,150,-99.983,-10.148275
27:45,0.3829,0.371,0.406,0.0119,-100,175,100.0119,10.151208
28:00,0.3812,0.3734,0.406,0.0078,-100,200,100.0078,10.150792
28:15,0.3798,0.3754,0.446,0.0044,100,175,-99.9956,-11.149509
28:30,0.3789,0.3772,0.407,0.0017,0,175,0.0017,0.000173
28:45,0.3782,0.3787,0.414,-0.0005,100,150,-100.0005,-10.350052
29:00,0.3776,0.38,0.411,-0.0024,100,125,-100.0024,-10.275247
29:15,0.3773,0.3811,0.408,-0.0038,100,100,-100.0038,-10.200388
29:30,0.377,0.3821,0.396,-0.0051,-100,125,99.9949,9.899495
29:45,0.3767,0.3829,0.409,-0.0062,100,100,-100.0062,-10.225634
30:00,0.3766,0.3837,0.391,-0.0071,-100,125,99.9929,9.774306
30:15,0.3765,0.3843,0.397,-0.0078,-100,150,99.9922,9.924226
30:30,0.3764,0.3849,0.394,-0.0085,-100,175,99.9915,9.849163
30:45,0.3763,0.3853,0.401,-0.009,-100,200,99.991,10.024098
31:00,0.3763,0.3857,0.428,-0.0094,100,175,-100.0094,-10.701006
31:15,0.3762,0.3861,0.378,-0.0099,-100,200,99.9901,9.449064
31:30,0.3762,0.3864,0.408,-0.0102,100,175,-100.0102,-10.20104
31:45,0.3762,0.3866,0.381,-0.0104,-100,200,99.9896,9.524009
32:00,0.3762,0.3869,0.789,-0.0107,0,200,-0.0107,-0.002111
32:15,0.3761,0.3871,0.826,-0.011,100,175,-100.011,-20.652271
32:30,0.3761,0.3872,0.802,-0.0111,100,150,-100.0111,-20.052226
32:45,0.3761,0.3874,0.774,-0.0113,-100,175,99.9887,19.347813
33:00,0.3761,0.3875,0.783,-0.0114,-100,200,99.9886,19.572768
33:15,0.3761,0.3876,0.816,-0.0115,100,175,-100.0115,-20.402346
33:30,0.3761,0.3877,0.782,-0.0116,-100,200,99.9884,19.547732
33:45,0.3761,0.3878,0.805,-0.0117,0,200,-0.0117,-0.002355
34:00,0.3761,0.3879,1.202,-0.0118,100,175,-100.0118,-30.053546
34:15,0.3761,0.3879,1.177,-0.0118,100,150,-100.0118,-29.428472
34:30,0.3761,0.388,1.277,-0.0119,100,125,-100.0119,-31.928799
34:45,0.3761,0.388,1.223,-0.0119,100,100,-100.0119,-30.578638
35:00,0.3761,0.388,1.127,-0.0119,-100,125,99.9881,28.171647
35:15,0.3761,0.3881,1.207,-0.012,100,100,-100.012,-30.178621
35:30,0.3761,0.3881,1.176,-0.012,-100,125,99.988,29.396472
35:45,0.3761,0.3881,1.231,-0.012,100,100,-100.012,-30.778693